article_id,framing_label,event_type,title_clean
3240f627fb06,neutral,최저임금,내년 NY·NJ 최저임금 또 오른다
14debea995e2,neutral,부동산_대출,투기지역 6억이하 아파트 LTV·DTI 40% 적용
3a6b4b0ee73e,neutral,물가_인상,"서울우유, 흰우유 출고가 3% 인상"
93be123f14ac,pessimistic,부동산_대출,美온라인 대출 약진에 …'모기지 1위' 웰스파고 사업 축소
f3eb05972683,neutral,물가_인상,커피·소주에 이어 포장김치 가격도 7% 인상
18e9859fc0b6,neutral,환율_달러,"원/달러 환율 강보합 마감…1,107.6원"
8338cedc7c0d,pessimistic,최저임금,급격한 최저임금 인상 '직격탄'…농가 경영여건 2년 연속 나빠져
8c1a680dd2e2,optimistic,부동산가격,마포·서대문·종로 새 아파트 사상 최고가…봄 이사철 실수요자 행진
7be7a294e984,alarmist,물가_인상,타겟 이어 월마트까지 휘청…“관세가 물가 영향”
339792163832,pessimistic,부동산_대출,1분기 산업대출 18조↑…부동산 대출이 43% 밀어 올렸다
9e1cc7eb46ac,alarmist,가계부채,美 가계부채 12조6천억 달러…글로벌금융위기 수준 '육박'
f7872fb30d40,optimistic,기준금리,"카카오뱅크, 가계대출 금리 최대 0.30%p 인하"
3e92ec99ad7c,neutral,물가_인상,"고용과 물가 안정, 두 마리 토끼 잡을 수 없을까"
22b6e03baf0b,neutral,최저임금,"트럼프 진영 크리스티, 최저임금 15달러 거부…""너무 급격"""
46d82a31a6d6,optimistic,경상수지,‘수출의 힘’…경상수지 80개월 연속 흑자
ea62e9f0b267,neutral,경기침체,"연속 '빅스텝' 부담됐나?…한은, 경기침체 우려에 '베이비스텝'"
e1fe056083b2,optimistic,경상수지,"반도체 수출 여전히 탄탄…5월 경상수지 흑자, 8개월 만에 최대(종합)"
e2b3d7ac60f2,neutral,물가_인상,서울 택시요금 오른다…지방선거 후 15∼25% 인상 유력
edbf578ef526,pessimistic,환율_달러,"코스피 하락, 원/달러 환율은 10.9원 급등 출발"
2ee02e0b8178,neutral,물가_인상,"한국노총, 올해 임금 8.3% 인상 요구"
c3ca5b634a4c,neutral,물가_인상,"보스틱 ""3월 0.25%포인트 인상 지지"""
ceeb206a6152,optimistic,기준금리,"코스피, 나흘째 상승…美 증시 폭등·韓 금리인하 기대감"
d5a915edfc24,optimistic,기준금리,"코스피, 美 금리인상 우려 완화…2,050선 반등"
3af7078ad963,neutral,반도체_수출,"네오시스템즈, 반도체 장비社에 FTMS시스템 제공…통관 업무 지원"
39bbcd36ffa4,alarmist,부동산가격,"경제학자 10명중 8명 ""文정부 정책이 수도권 집값 폭등 유발"""
60df39d6b25f,alarmist,수출입동향,현대자동차·현대중공업 노조 파업 장기화…'블랙홀' 된 울산 경제
6ff7c4aef414,defensive,물가_인상,1%대 물가상승률에도 뛰는 체감물가…주범은 먹거리값
789eb6ae7df3,optimistic,GDP_성장률,"日, 올 2분기 실질 GDP 0.4%↑…3개 분기 연속 성장"
c44bc5e3f377,optimistic,경상수지,6월 경상수지 58.7억달러 흑자…하반기 불투명
3f51a0519781,alarmist,물가_인상,"한은 ""치솟은 환율, 올 하반기 물가 끌어올린다"""
147f0f1afea4,neutral,소비자물가,3대 물가지표 일제히 뛴다고 속지마라? “인플레 아닌 리플레”
3659b0b94b50,neutral,수출입동향,"산업통상부·관세청, 1~20일 수출입 동향"
2f17037a9a3c,neutral,소비자물가,부산 지난달 소비자물가 1.2% 상승
26e6b70fc1f9,alarmist,물가_인상,"10년만에 물가상승률 3%대 전망...한은, 추가 금리인상 시사"
ce11da022640,optimistic,반도체_수출,정보통신기술 수출액 195억달러…역대 7월 최고 기록
59357fc118fd,neutral,경기침체,8월 전국 주택 매매·전세 다 올랐다
a05bf699b4a4,comparative,GDP_성장률,韓성장률 2년 연속 OECD 10위권…이제는 '성장 중진국'
71484a4608c3,defensive,경기침체,줄어든 美소비…경기침체 우려할 수준은 아냐
c0a374a7f006,alarmist,GDP_성장률,2분기 성장률 -3.2%…금융위기 이래 최저
b23b0513af91,neutral,소비자물가,2월 소비자물가 2% 상승
82f5221919ca,optimistic,기준금리,'내집마련 디딤돌대출'금리 12일부터 0.2%P↓…최저 1.6%
5691a67dc925,alarmist,가계부채,"예대율 턱밑까지 찬 금융권, 대출영업 몸사리기"
8dee684abbbb,pessimistic,국채_금리,ECB '양적완화 축소' 우려에 글로벌 국채가격 '뚝'
5c2e68482d0c,alarmist,국채_금리,'발작' 3년만기 국채 3.6% 재돌파…대출금리 더 오를 일만
72af3418b32a,neutral,가계부채,가계부채관리 회의 주재하는 최종구 금융위원장
6dbfc1647759,neutral,경기침체,"노원구, 대출금리 인하해 중소기업 육성 지원"
361b1ad232de,defensive,수출입동향,인천 1월 수출 50억달러 첫 돌파…일평균 수출액은 감소
eab790012e06,pessimistic,기준금리,"뉴욕증시, 금리인상 우려에 하락…다우 0.26%↓"
8cb2673b1577,neutral,기준금리,오늘부터 주담대 금리 인하…코로나 대출상환 재연장될 듯
b6c106099424,optimistic,가계부채,주담대 금리인하 도미노 하나은행도 0.15%P↓
3a9828429d6f,neutral,GDP_성장률,전세계 이목 쏠린 리창의 입…'경제성장률 목표 5%' 지킬까
748c6688d62a,optimistic,기준금리,‘이자 장사’ 성적표 공시에…대출금리 앞다퉈 내리는 은행들
faac79bb9112,alarmist,환율_달러,"원/달러 환율 급등해 1,110원 육박"
cb3912e64422,pessimistic,고용동향,제조업 고용시장 악화..1월 취업자수 16만명 감소
8fb5b3ae3341,pessimistic,수출입동향,“환율 오를 때 팔자” 수출입 기업들 달러 매도···외화예금 사상 최대 규모 축소
cb3753cdfc9a,pessimistic,GDP_성장률,英 연구소 “우크라 전쟁으로 세계 성장률 1%p 하락·물가 3%p 인상”
bf6e3b8bbbc8,neutral,고용동향,1월 고용동향 살펴보니…최저임금발 영향은 더 지켜봐야
a2e116b4e362,pessimistic,경기침체,경기 침체 장기화···대기업 이사 보수한도 삭감
3742b6e72a97,optimistic,국채_금리,美금리 인하에 증권株 웃었다
43a1a515e0a6,alarmist,소비자물가,추석 앞두고 장바구니 물가 ‘비상’
e1e54e2a7474,optimistic,경상수지,10월 경상수지 흑자 역대 3위…“연간 목표치 11월에 달성 예상”
0467ee2759bc,pessimistic,GDP_성장률,저성장 터널 갇힌 韓…내년 성장률 1.4%로 떨어질수도
20d68972911e,alarmist,소비자물가,"옐런, '긴축' 신호…1월 美소비자물가 4년래 최대폭↑"
62a8988e2525,alarmist,부동산_대출,오늘부터 신용대출·부동산대출 중단한 하나은행
8056266377ba,pessimistic,국채_금리,"월가 거물 ""올해 국채금리 다시 오르고 주식은 하락"""
10909517dfde,alarmist,가계부채,"가계·기업 부채, 경제 규모 2.2배"
cf0515a667af,optimistic,반도체_수출,日투자 노리던 韓반도체 업계 '화색' AI·빅데이터 등 첨단분야 협력 기회
17117ab59d25,neutral,물가_인상,"""선진국 가운데 첫 금리인상...추가인상 가능성"""
599a8871240d,neutral,소비자물가,"이주열 “유가·농수산품 가격 상승, 물가상승률 현재 수준 지속”"
90af3e781713,neutral,최저임금,"<美민주 전대> 샌더스 공격에 발끈한 트럼프 ""최저임금 최소 10달러로 인상""(종합)"
9c26d36d0aa4,neutral,국채_금리,"골드만·모건스탠리 ""미 국채 과매도…30년 물가연동채 추천"""
506eb97e05fb,alarmist,환율_달러,원·달러 환율 한 때 1500원 넘어서…2009년이후 처음
90bea2875672,defensive,반도체_수출,"미, 삼성·SK 반도체장비 中 반출 통제에…정부 ""영향 최소화되게 협의"""
00b1dbd06b5b,pessimistic,경기침체,"하이투자 ""미중, 美대선까지 노딜 가능성…경기침체 우려"""
440dc7afd5b3,pessimistic,부동산_대출,장사 안되는데 빚부담 늘고…자영업자 줄었는데 대출 증가
87c8fe970e04,pessimistic,경기침체,"UBS ""미국 경기 침체 확률 25%로 상향"""
81ef03e31fcc,neutral,부동산가격,"감정원, 부동산 조사 전문기관 변신"
e831856e9c52,pessimistic,경기침체,靑과 갈등·경기 침체·민심 이탈...14년전 이헌재와 닮은 김동연
77bf7c0a815d,neutral,환율_달러,원/달러 환율 소폭 하락세…北 리스크에 낙폭 제한
192ea8b62dbd,neutral,부동산가격,“김조원 아파트 시세보다 비싸게 내놨다” 논란…청와대 “남자들은 부동산 잘 몰라”
897fb0de6455,optimistic,경상수지,6월 경상수지 142.7억 달러 흑자…반도체 등 수출 호조에 역대 최대
030e10b1bfd0,alarmist,환율_달러,브라질 금융시장 '대선 변수'에 또 출렁…헤알화 환율 1.48%↑
9da97bc41807,neutral,수출입동향,10월 수출입동향 발표
d256426e343d,neutral,환율_달러,원/달러 환율 상승 출발
70ed4d7b6642,pessimistic,물가_인상,끈적한 물가탓… “美 금리 인하 6월에나”
e5319e1e0693,neutral,환율_달러,위안화 하락에 연동…원/달러 환율 강보합
7650e14cd73d,pessimistic,경기침체,"감세·경기침체···성장동력, 재정건정성 다놓쳤다···지출 증가 20년 만에 최소"
18f9ecc06ce7,neutral,소비자물가,30분 만에 임금협상 타결…SK이노베이션에 무슨 일이?
926abf160c2b,neutral,부동산_대출,부동산 대출규제 넘어 섬세한 시장관리가 필요하다
b1619b857e49,alarmist,소비자물가,1월 소비자물가 2% 올라… 4년 3개월만에 최대폭
248aba7bf3d9,optimistic,반도체_수출,7월 ICT 수출 185.6억달러로 18.2%↑…20개월 연속 증가
ec1c8ffb3035,alarmist,경기침체,지난해 보이스피싱 피해액 사상 최대 기록…4400억원 달해
817c5542ffe1,neutral,부동산가격,"문 대통령 부동산가격 상승, 가상화폐 문제 언급하지 않은 이유"
27171ec7122e,optimistic,GDP_성장률,'골디락스' 가까워지는 美…성장률 전망 1.3%→2.2%로 상향
82c63f85a8d8,pessimistic,국채_금리,美증시 하락 반전 이유...美 10년물 국채 입찰 수요 올해 최저
b878eab8b854,neutral,환율_달러,코로나19 확산세 주시…원/달러 환율 강보합 출발
652755f6f7d0,alarmist,소비자물가,원유ㆍ돼지고기 수입가 '껑충'…소비자물가 더 뛴다
30ec79977a4d,optimistic,경상수지,일본 작년 경상수지 298조원 흑자…전년比 11%↑ '사상 최대'
7114c3405600,comparative,가계부채,대전 충남 가계·자영업자 부채 증가율 전국 평균보다 크게 높아
91547838cfb1,neutral,수출입동향,2025년 11월 수출입 동향은
f6d1cd8600bf,neutral,물가_인상,인천 결식아동 급식단가 7천원으로 인상…서울·경기와 동일
0b9599501313,alarmist,경기침체,확산되는 경기 침체론…“2년 안에 침체 온다”
8ad376ade5f9,neutral,최저임금,"경총 ""최저임금법 시행령 개정 반대…현행 유지해야"""
5b232d86421c,alarmist,부동산_대출,"""부동산 대출 쏠림현상""…P2P금융상품 소비자경보 발령"
47abe168e0a3,neutral,반도체_수출,"바이든, 반도체·배터리 공급망 검토 지시…한국도 영향 받나"
19fdaacd4bfb,neutral,수출입동향,8월 수출입동향관련 브리핑
c06035f9eb4e,alarmist,반도체_수출,수출 급감 '발등의 불'…재정·마케팅 총력 지원
bfc0a29567c0,pessimistic,GDP_성장률,韓도 이젠 GDP 비중 소비>수출인데…폭우·폭염 '악재' 겹겹
0ce4487425b4,defensive,경상수지,"한총리 ""경상수지 흑자…녹록지 않지만 염려할 상황 아냐"""
af3bce11a9f7,neutral,부동산_대출,中 국유은행 신규대출 절반 '부동산 대출'
5becd0df1e3b,comparative,최저임금,준비 안 된 최저임금 한일 역전시대
63044066c6bf,neutral,가계부채,분양보증 예비심사 도입
d4b06436f4ab,alarmist,가계부채,'세수펑크'·'빚투·영끌'에…나라·가계빚 첫 3000조 넘어섰다
36b5497ac158,alarmist,환율_달러,중동 사태 여파로 치솟는 원/달러 환율
7b77bcd63c55,neutral,경상수지,폭염·폭우에 7월 물가 어땠나…美관세 영향 경상수지도 주목
70ea2a931d1b,alarmist,부동산_대출,PF 부실 '비상'…농·신협 부동산 대출 옥죈다
059e77dd7ce4,pessimistic,물가_인상,中 구이저우마오타이 출고가 인상에도 '비틀'
5bdf939c6b31,neutral,부동산_대출,경찰 '장하성 펀드' 장하원 대표 소환
182488b46c83,neutral,부동산가격,고강도 '8ㆍ2 부동산 대책'…집 살까? 팔까?
85404c797ec5,neutral,국채_금리,"16년 만에 新 국채선물...""금리 변동 리스크 줄인다”"
8beb01b83ad7,pessimistic,최저임금,"김동연 ""최저임금, 고용에 일부 부정적 영향""(종합)"
41cf490f37c1,pessimistic,최저임금,"""일용직 고용감소, 76%는 최저임금 탓"""
583c32a8eeac,neutral,부동산_대출,"대신증권 ""美규제완화, 국내 은행업종 수혜 제한적"""
c5ddb817949b,alarmist,국채_금리,'단 9분 연설'…파월 말 한마디에 7000조 날아갔다
79ff8c7f48c2,optimistic,경상수지,6월 경상수지 142.7억달러…반도체 등 수출 호조에 역대 최대 흑자
308589f09d3a,pessimistic,반도체_수출,"RE100 15년 뒤처진 한국, 반도체·AI 산업 타격 받나"
b550edf7a495,neutral,부동산가격,강남맘 판교로 간 이유는…
cabea49933b5,optimistic,GDP_성장률,소비 회복·수출 호조…2분기 경제 성장률 0.7%
ea4955fe9dd5,neutral,환율_달러,"원·달러 환율 하락…1,118.5원(-0.6원)"
86129bffec11,neutral,가계부채,"""신용대출 늘어난다"" 지적에…금융위, 은행에 '구두 경고'"
0f6bc611b97e,neutral,물가_인상,"구윤철 ""기름값 인상은 민생 좀 먹는 행위…행정조치 모두 활용"""
aca5abd61d1b,optimistic,반도체_수출,2월 1∼20일 수출 13.1% 증가…일평균 기준 17.2%↑(종합)
61cb085fa0f7,defensive,경상수지,IMF 20년…경상수지·외환보유액 좋아도 새로운 위기 우려
ff6038ba7fb4,pessimistic,반도체_수출,IT부품주 왜 맥못추나…원화강세로 수출부진
e39f5f2b519f,neutral,경상수지,다음주 경제지표 줄줄이…3분기 성장률·물가·경상수지
25b8f30576ba,neutral,환율_달러,"원·달러 환율, 전 거래일 대비 4.2원 내린 1,121.0원 마감"
c6f1ec30b802,neutral,소비자물가,미국 1월 소비자물가 0.3%↑…석달 연속 상승
08bb129aafca,optimistic,반도체_수출,"반도체 前 공정의 핵심, 증착장비 세계 첫 개발…누적 R&D 투자 1조원"
f9c8ab5e56a1,pessimistic,반도체_수출,8월 1~20일 수출 13.3% 감소…對일본 13.1%↓(종합)
9e886efae6c6,alarmist,고용동향,"AI에 쓸모 잃은 인간, 섬뜩한 무용계급론"
b8a7a2f99199,alarmist,경기침체,"""코로나 장기화 여파···IMF 이후 가장 긴 경기침체"""
a290ce81ffe6,alarmist,환율_달러,"1,500원 찍은 환율…""상단 더 열어둬야"""
0f1a63f4a98e,pessimistic,고용동향,"1월 청년실업률 감소, 구직포기로 인한 역설"
ac57dc02b69e,neutral,기준금리,신용대출-주담대 금리 역전됐다
eee9be487195,neutral,부동산가격,"문 대통령 “ 더 강력한 부동산 대책, 주머니 속에 있다”"
34f9df9eb145,neutral,환율_달러,코스피-원 달러 환율 상승
aced6e8bd1f2,optimistic,반도체_수출,수출 덕 제조업 체감경기 두 달째 오름세…22개월 최고치
17f1cef86fe7,optimistic,반도체_수출,"강경성 ""코트라, 경제안보 기관 역할…'수출 5강' 시대 연다"""
9e20fd9cc4b7,optimistic,GDP_성장률,"인도, 2분기 7.8% 高성장…서방 脫중국 수혜 본격화"
4ddce336730c,pessimistic,부동산_대출,부산 상반기 가계대출 증가세…주택담보대출 영향
7b01ede791fa,alarmist,GDP_성장률,지난해 GDP성장률 -1% 역성장…IMF이후 최저
f4919d448a54,pessimistic,수출입동향,부산 무역수지 5개월 만에 적자…자동차부품 부진
09160f094c4e,pessimistic,경기침체,"호주, 30년 만에 경기침체 돌입···""2022년에야 회복될듯"""
ef2c6220949f,alarmist,부동산가격,"가계빚, 증가 속도 빨라지고 부실화 위험성도 더 커졌다"
bc6f356cdebc,neutral,부동산가격,당첨 안되는 이유 있었네…청약통장 모집단 검거
3069dbceba7c,pessimistic,고용동향,'최저임금 역풍' 도소매·숙박·음식점 등 일자리 7.5만개 감소
48f24d815a90,alarmist,GDP_성장률,어긋난 '노동 톱니바퀴'…이민자 없인 2050년 GDP 2만弗도 위태
a813a58b7683,alarmist,소비자물가,'무더위·폭우탓' 소비자물가 2.6%↑…5년4개월만에 최대폭(종합)
4af6854608d8,neutral,반도체_수출,"러, 서방 제재 비웃으며 중앙아 '뒷문'으로 반도체·드론 공수"
a01180b54f05,pessimistic,소비자물가,2월 광주전남 소비자물가 상승…배춧값 급등
7cdc785f20a4,neutral,국채_금리,워시發 미 국채 금리 상승 가능성
585b4bd17111,optimistic,고용동향,로버트 월터스 '글로벌 연봉조사 2017' 발표···영업 및 마케팅 전문인력 국내 채용 수요 증가 예측
7a39a94ebec9,defensive,가계부채,"신중한 한은, 코로나19에도 기준금리 '동결'…""더 지켜볼 듯"""
dcb2832ca312,optimistic,국채_금리,"""국채금리 떨어진 지금이 회사채 투자 적기"""
59bbc1352958,pessimistic,고용동향,조선업 일자리 상반기에만 2만7000개 사라진다
2f38f3a0c50b,alarmist,최저임금,최저임금 인상의 후폭풍
5997f0c5832b,neutral,기준금리,농협도 주담대 금리 낮춰 가계빚 다시 증가 우려도
447a92b3d031,neutral,고용동향,청년실업률 개선됐을까…5월 고용동향 주목
2b7154e7d010,neutral,가계부채,"한은, 기준금리 동결…가계부채 부담에 '숨 고르기'"
ec65f39d8900,neutral,GDP_성장률,2월 美 고용 성적표…둔화세 확연해졌을까
ea6434e47043,neutral,기준금리,기준금리는? 시중금리가 따라 가는 '중앙은행 정책금리'
5312f2b7f168,neutral,환율_달러,"원/엔 환율 1,010원대로 상승…원/달러 1,146.3원 마감"
f0c62def80e9,neutral,소비자물가,광주·전남 소비자 물가 2개월 연속 상승
f6540fb19ddf,alarmist,반도체_수출,"기술냉전의 시대...美, 엔비디아 등에 최첨단 반도체 中 수출 중단 통보"
0c9a3c2ea0a6,comparative,고용동향,"역대 최대로 벌어진 소득 격차…""최하위층에 자영업자 증가 영향"""
0ae88d67e35f,neutral,환율_달러,원/달러 환율 소폭 상승…위안화 약세에 연동
caa6e83f892b,alarmist,최저임금,'강탈한 최저임금 돌려놔!'
cc062020bb4f,alarmist,환율_달러,미중 3차 고위급 협상 앞두고 긴장감…원/달러 환율 상승
14fc9f57f4d2,neutral,환율_달러,"원·달러 환율 하락…1,124.2원(-0.5원)"
883411371e91,comparative,GDP_성장률,일본 2분기 경제성장률 1.5%···25년 만에 한국경제 역전당하나
fe1b0e8a83db,neutral,부동산가격,<2016 부동산결산> 재건축·청약과열 '후끈'…대책후 '내리막'
44b87cd80ea3,alarmist,최저임금,"듣도보도 못한 조작 산출…최저임금 정하고, 공식 끼워맞췄다"
ec651a005ad3,neutral,최저임금,日 최저임금 역대 최대 3.3% 올린다
1e2e15880288,pessimistic,경상수지,美 1분기 경상수지 적자 확대...수입 증가 탓
423d1276cf48,neutral,수출입동향,"수출입은행, 해외PF 공동지원 위한 'IB·국내금융기관 세미나' 개최"
0fbf22e9f3ba,neutral,부동산가격,"경자유전 꺼낸 李대통령, 이번엔 '투기용 농지' 정조준…부동산 전선 확대"
477ce07e4f90,neutral,가계부채,노후 자산 활용 역모기지 ‘주택연금’ 가입해볼까... 3억 짜리 주택 보유한 만 65세 월 75만원 수령
896f44c585ca,pessimistic,환율_달러,"원화, 달러外 통화들에 강세…수출여건 악화 소지"
30eff8b4e64a,alarmist,환율_달러,"원/달러 환율 1,220원대 돌파…6개월만에 최고…사흘새 30원 ↑"
ba79179368b8,neutral,반도체_수출,美 금리인상 임박...금융·수출주 찜해볼까
d91e9c381f47,alarmist,부동산_대출,"'규제 사각지대' P2P 대출, 집값 90% 빌릴 수 있다는데…"
95dc42a54b14,alarmist,반도체_수출,수출 3개월 연속 감소 '비상'…중국 경기둔화·반도체값 하락 탓
8d60538f6329,neutral,최저임금,"""'축사노예' 19년 품삯, 최저임금으로 셈해도 1억8천만원 달해"""
da3bf9ece001,pessimistic,국채_금리,뉴욕 증시 하락 마감…나스닥 1.56%↓
958430910008,neutral,수출입동향,북중 수출입 증감률 추이
d407386adb24,pessimistic,소비자물가,中 지난달 생산자물가 4.3%↑…상승률 14개월來 최저
7f77c296fc18,alarmist,소비자물가,폭염에 신선식품값 급등…‘추석물가’ 비상
8407c2b7cd7d,optimistic,소비자물가,1월 소비자물가 상승률 17개월 만에 최저…“설 물가 감시 강화”
5569b612bdde,defensive,반도체_수출,수출액 8% 줄었지만…반도체는 40% 늘어
badade66141c,neutral,국채_금리,"달아오르는 브라질국채, 리스크는 없나"
791697407141,alarmist,부동산가격,'광명·시흥 신도시' 반사이익?···시흥 아파트값 '껑충'
a82c374bb698,defensive,경기침체,"CFRA ""美 증시, 경기침체 우려에도 연말랠리 향하는 길"""
3e19adfa5075,neutral,GDP_성장률,사람 대신 장바구니 200개 '오픈런'…日서 '진풍경' 벌어진 이유
bfcb9a8836c0,alarmist,부동산_대출,"P2P투자, '고고단' 좇다간…쪽박 찰 수도"
857540e994a1,neutral,물가_인상,`외식물가·배달비` 공개…가격통제 나선 정부
ce9957401d14,defensive,경기침체,"므누신 美 재무장관 ""美 장·단기 국채 금리차… 좁혀져도 경기침체 우려 없다"""
8ce624bd1ff4,alarmist,소비자물가,올 추석 차례상 '채소·과일' 패싱?…시금치·수박값 한달새 2배↑
5be31ac4cb3e,neutral,최저임금,“우리 회사는 올려준대?”...올해 임금인상 기업 살펴보니
18d9bcdbe2e2,neutral,소비자물가,물가상승 대비하는 자산시장…금투자 매력엔 전문가도 '이견'
562e8f5f5466,neutral,물가_인상,우유가격 인상 신호탄
3cf26c561d2d,pessimistic,고용동향,1월 취업자 10만8천명 증가…13개월 만에 최소폭
64857145f76b,alarmist,국채_금리,더 세진 日 확장재정…증시·국채금리 급등
273c3d6b4a8d,optimistic,수출입동향,"1월 수출 11.2%↑, 4년 만에 최고치 '무역수지도 60개월 연속 흑자'"
82e51c5b786d,defensive,고용동향,7월 취업자 29만 9천 명↑…실업률도 19년 만에 최고
40c993ac4280,neutral,물가_인상,"한덕수, 택시비 묻자 ""1000원 쯤?""...물가 모르는데 물가 잡기?"
a837deae942d,neutral,가계부채,"홍남기 ""가계부채 리스크 줄일 대안, 다음달 중 발표"""
a8b7b1f46208,alarmist,기준금리,국고채 금리 연중 최고 육박...원달러 환율 치솟아
b6b09d78a833,neutral,고용동향,"통계청, 신종코로나로 전국 사업체조사 연기…대면조사 부담"
70b9fe4a0be1,defensive,경기침체,미국 경기침체 없다?…'무착륙 시나리오' 부상
4a6f707b9356,alarmist,국채_금리,美 국채금리 4년來 최고…글로벌 증시 흔드나
aeabc926a9dd,neutral,최저임금,마트휴업·최저임금 정책을 ‘인기투표’로 결정하겠다는 대통령실
dc482939027c,alarmist,환율_달러,원·달러 환율 한때 1500원 돌파…2009년來 처음
f90f52cc8215,defensive,기준금리,"SK증권 ""美 금리인상 가능성 확대…증시 영향은 제한적"""
f3c43c6a3f26,pessimistic,경기침체,美국채금리 하락에 금융주 된서리
8f220e343875,comparative,최저임금,"""최저임금 전국 꼴찌는 안돼""…눈치 전쟁 벌이는 日지자체"
362320534682,alarmist,물가_인상,"한은, 물가 목표 10년만에 '3%대'…‘스태그플레이션’ 결국 현실화하나"
6c457b20bb0c,alarmist,물가_인상,"'관세전쟁'에 美 서민들 한숨…""물가 얼마나 오를지 걱정"""
67a3913a593e,alarmist,경기침체,인구 감소·부동산 곤두박질…울산동구 '조선 침체'의 끝 어디
eb64a9b6c7de,pessimistic,환율_달러,"증시 하락, 환율 상승"
a058c971ec68,optimistic,경상수지,6월 경상수지 흑자 121.7억달러…사상 최대
50d340a86f8d,alarmist,GDP_성장률,허리케인 하비 탓에 美 성장률·금리인상에 '빨간 불'
86a1f5c2ba05,defensive,국채_금리,"미 국채·뉴욕증시 '동반거품' 빠지나…""과열 해소 국면"""
c28d3fbe49a7,defensive,반도체_수출,수출 11개월 연속 감소에도…수입 더줄어 석달째 '불황형 흑자'
3978c6c006f5,pessimistic,수출입동향,트럼프 반이민정책에 글로벌증시 일제히 하락
5a48a7b94a55,neutral,국채_금리,미국 국채금리 연 3% 시대 성큼… 투자 전략은?
6a31be76b355,alarmist,물가_인상,9월 물가쇼크 현실로…라면·과자·우유 값 일제히 오른다
50f2a03a7cb4,alarmist,소비자물가,채소가격 상승으로 치솟은 소비자물가
8e635ba4261f,neutral,부동산_대출,"""경제지식 없는 고등학교 경제교과서…성장 부정적 측면 강조"""
351d73d0e5d1,neutral,최저임금,올해 최저임금 9천160원
9497166c6a46,neutral,부동산가격,세상에 없는 나의 기억들
6b85a4529b83,neutral,국채_금리,16일 FOMC 의사록 공개 … 美국채금리 '주목'
663d79257ef4,neutral,부동산_대출,해외부동산 메자닌투자에 꽂힌 큰 손들
f198af8c8109,neutral,환율_달러,원/달러 환율 보합권 출발…달러 약세에도 하단 지지
d3b44a5304c0,neutral,가계부채,5대銀 정기예금 760조 돌파…대출보다 72조 더 많아
dc1e5f004499,neutral,부동산_대출,국민연금 국내 부동산 대출 출자 ‘한산’…경업 금지 조항 탓
